Open questions for Defy
"Volume quote at 100 / 500 / 1,000 / 5,000 beds/yr — what does $344.05/bed kit become?"
Build-to-supply: cheaper if ACT sources steel (DNA Steel) + canvas (Centre Canvas) direct and supplies to Defy for kit-assembly only?
In-house assembly payback: at what volume does taking the $55.95/bed assembly in-house pay back the $90K-$200K capex?
"Confirm INV-1731 freight (3 × $450 = $1,350) Sydney → Sunshine Coast for 1200kg shred + 20 panels?"

Supplier / line,Amount,Current tag,Correct tag,Note
Centre Canvas (3 bills),14915,ACT-IN,ACT-GD,"Verified ex deep OCR 2026-05-28 — 50 + 110 covers @ $93.50, plus duplicate $10,285 to reconcile"
Coastal Fasteners screws,131,ACT-FM,ACT-GD or split,2000 screws @ $0.065 — shared with Goods facility
Defy Washing Machine Cladding,25000,ACT-GD,ACT-FM,
Defy Coasters,10000,ACT-GD,ACT-EL,
Defy Design/R&D,7000,ACT-GD bed-COGS,ACT-GD capital/R&D,
Utopia trip flights/accom,24507,ACT-IN,ACT-GD,
1300 Washer,13980,ACT-GD,ACT-FM,
Carla Furnishers duplicate,11180,ACT-GD,VOID DUPLICATE,
"R M Tanner Triple Axle (Weave Bed era, different project)",19950,ACT-GD,Different project — remove from ACT-GD,
Zinus Australia (Basket Bed v1 mattress toppers),28690,ACT-GD,"ACT-GD-archive (Basket Bed v1, discontinued)",
