,,,,,,
,From 1 Oct 2025 to 31 May 2026,,,,,
,,,,,,
,NJ Marchesi T/as ACT Everyday,,,,,
,8.40E+13,,,,,
,Date,Particulars | Reference | Code,Spent,Received,SL Comments,Your Comments
,10/23/2025,CHRISTOPHER DODS J7040396334 Confessional Thanks | Transfer Debit,"2,000.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Honorarium/contributor payment to Christopher Dods for The Confessional (ACT-CF) — confirmed an ACT project payment by Ben. P2P transfer, no tax invoice -> GST-free."
,10/29/2025,James William V0471764749 | Transfer Debit,360,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Labour for the Harvest build (ACT-HV) — paid to James William. P2P transfer, no tax invoice -> GST-free. Not Drawings."
,11/4/2025,Shane Bloomfield H8299013120 Bunnings thanks | Transfer Debit,200,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[no matching receipt on file; reviewer-corrected] Reimbursement to Shane Bloomfield (from Oonchiumpa) for a Bunnings purchase for the Goods project (ACT-GD), account 430. GST-free — a consumer Bunnings receipt in Shane's name can't support a GST credit."
,11/5/2025,HPJCFBWSB5 Humanitix Ltd A CURIOUS TRACTO | Interbank Credit,,"1,150.00",SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[reviewer-corrected] Event/ticket income via Humanitix for a dad.lab event on the Farm (ACT-FM) — Other Revenue, not a grant. ACT was GST-registered this period, so GST on income ~$104.55 (and Humanitix remits net of its fee — confirm gross-vs-net from the settlement). [Ben flagged: workshop the income-side treatment for dad.lab more broadly.]"
,11/7/2025,MR MARCUS TRAVERS COMarcus C thanks | Money Transfer,,200,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[no matching receipt on file] Payment for dad.lab (per Ben) — ACT income for the dad.lab program on the Farm (ACT-FM). ACT was GST-registered, so GST on income ~$18.18. Other Revenue, not a personal gift. [Part of the dad.lab income-handling to workshop with #3.]"
,11/11/2025,Ross Built ConstructP7797582049 ACT | Transfer Debit,"20,000.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt likely in Gmail — confirm; reviewer-corrected] Oonchiumpa / Atnarpa station build (ACT-OO). The $20,000 to 'Ross Built Construct' is a PART-PAYMENT of RNM Carpentry tax invoice INV-0146 — 'Ross Built Constructions' is RNM Carpentry's bank account (ABN 33 669 520 405). Invoice total $26,845.65, ref 'Atnarpa homestead renovation', 11 Nov 2025, on file in nicholas@/benjamin@. Capital build -> Building/Construction WIP, ACT-OO. GST: book the full bill (GST $2,176.77 on the labour/hotel lines; the travel-allowance lines are GST-free) and reconcile this $20,000 as a part-payment against it — don't compute GST off the $20,000."
,11/27/2025,MARCHESI NICHOLAS JAUp | Money Transfer,,"20,000.00",SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"This is Nic putting money into the business — owner funds introduced, not income. Code to Owner Funds Introduced (or director/owner loan), no GST, no tax invoice required. It's the contra to the drawings/super outflows. Definitely not Other Revenue or a grant."
,11/28/2025,SUZANNE MARGARET ANDSecurity minus Car d | Money Transfer,,616.66,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Rent received for the house on the Farm (ACT-FM), per Ben — NOT a deposit refund. Residential rent is input-taxed, so no GST on the income. The 'Security minus Card' note = rent net of a card/admin fee. Code Rent Received, ACT-FM, no GST."
,11/28/2025,TFN Distribution The Funding Netw A Curious Tracto | Interbank Credit,,"89,361.00",SL: Kindly confirm if Other Revenue or Grants Received account,"This is The Funding Network distributing impact funding to us — book it as Grants Received, not Other Revenue. TFN grants/donations are GST-free income (please confirm there's no GST component on TFN's remittance advice, but our prior treatment is GST-free). The TFN Dext receipt on file is the correct match. This is the larger of the two TFN distributions in the period."
,11/28/2025,Tarik Dallinger-DimiA9838522047 | Transfer Debit,781.9,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"This is a payment to Tarik Dallinger-Dimitriou, an artist, for artwork on our Container project (Contained, ACT-CN) — confirmed by two Gmail threads ""Artwork for the Container project"" arranging him to come up and do the work Friday/Saturday. Code it to ACT-CN as an artist/contractor fee. It's a bare bank transfer with no tax invoice on file, so claim NO GST — treat GST-free/GAP. If Tarik is GST-registered and sends a proper tax invoice, we can then claim the ~$71.08 GST credit; until that invoice is on file, leave it GST-free."
,11/28/2025,Nicholas Marchesi SuE0397656597 | Transfer Debit,"20,000.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"$20,000 to Nicholas Marchesi (ref ...Su...) — Nic's own superannuation contribution. A sole trader's own super is not a business expense: code 880 Drawings - Nicholas Marchesi, No GST. ('Super' is inferred from the truncated 'Su' descriptor; either way this is a personal/owner outflow = Drawings.)"
,12/4/2025,Thriday G3468033865 | Transfer Debit,"3,000.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[NEEDS YOUR CALL; receipt likely in Gmail — confirm; reviewer-corrected] Thriday $3,000 (4 Dec 2025). Thriday is our BAS/accounting service (Sally Hurst). I found the Sep-2025 BAS-lodgment threads in nicholas@ but NO $3,000 Thriday tax invoice. CONFIRM: is this (a) a Thriday SERVICE fee -> Accounting fees, ACT-IN, GST claimable (~$272.73) once they send the tax invoice; or (b) a BAS/GST PAYMENT to the ATO routed via Thriday -> BAS Excluded, no GST credit? Treatment differs. Also still check it isn't duplicated on the NAB Visa #8815."
,12/17/2025,Circularity Group PtA5648662938 Thanks | Transfer Debit,"32,780.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt located — forwarding; reviewer-corrected] The Plasticians (Circularity Group Pty Ltd, ABN 83 672 497 497) — tax invoice INV-0054, 17 Dec 2025: Machinery (CNC, hot + cold presses, sheet storage, prep table) for the Goods plastic-recycling line. $29,800 ex-GST + $2,980 GST = $32,780, ties to this payment exactly. Code ACT-GD, account 446 (capital equipment), GST on Expenses, claim the $2,980 GST credit. NOTE for the bookkeeper: the existing Xero bill is mis-entered as $29,800 GST-inclusive (tax $2,709.09, a Dext auto-import 'NEEDS CODING') — please correct it to $32,780 total / $2,980 GST. Tax invoice on file in nicholas@."
,12/19/2025,TFN Distribution The Funding Netw A Curious Tracto | Interbank Credit,,"55,197.00",SL: Kindly confirm if Other Revenue or Grants Received account,"[reviewer-corrected] Grant — second & final distribution from The Funding Network. Code Grants Received, GST-free income. Project: Goods (ACT-GD), per Ben."
,1/9/2026,INTERNET TRANSFER Thanks | Transfer Debit,"1,439.60",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt likely in Gmail — confirm; reviewer-corrected] Transfer back to Nic ('for Alona' — confirmed fine by Ben). An owner/personal transfer, not a business supply: code 880 Drawings, BAS Excluded, no GST."
,1/16/2026,BIONIC GROUP PTY LTDRefund | Money Transfer,,"2,420.00",SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt likely in Gmail — confirm; reviewer-corrected] This is a refund of the Bionic Self Storage bill, not new income. We have the matching PAID Xero bill on file: ACCPAY $2,420 to Bionic, coded ACT-IN, account 452, tax INPUT. The refund amount ties to it exactly ($2,420 in = $2,420 out). So code this refund AGAINST account 452 (Bionic Self Storage, ACT-IN) and reverse the GST — i.e. GST on Expenses, which backs out the ~$220 input credit we'd claimed on that bill. Do NOT book it as income, and don't confuse it with the separate $4,705 Bionic Group bill (that one is ACT-GD / EXEMPTEXPENSES)."
,1/23/2026,little beach shacks F8216106008 Thanks | Transfer Debit,"4,000.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide; reviewer-corrected] $4,000 to 'little beach shacks' (23 Jan 2026) — confirmed by Ben as a BUSINESS stay for a story project (likely Empathy Ledger, ACT-EL). Code Travel & Accommodation. Direct transfer to the host, no tax invoice on file -> GST-free. Confirm the specific story project/code if not ACT-EL."
,2/11/2026,2000004534 AGA ASSISTANCE Mr Nicholas Marc | Interbank Credit,,668.37,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,This is a travel-insurance payout from Allianz Global Assistance (AGA) reimbursing a trip cost. Book it against the related travel expense to reduce the cost (or as other income if the original cost isn't on this file). Insurance settlements are BAS-excluded — no GST. No tax invoice exists for an insurance payout; the claim/settlement letter is the support if needed.
,3/4/2026,Daniel Robinson H1439156991 John deer mower | Transfer Debit,"3,600.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"This is a second-hand John Deere ride-on mower I bought privately off Daniel Robinson via Facebook Marketplace for The Farm. Private seller so there's no tax invoice — GST Free. Treat it as a capital asset (plant & equipment) to depreciate, not a running expense. Code to ACT-FM."
,3/30/2026,Catalysing Impact SOCIAL IMPACT HU A CURIOUS TRACTO | Interbank Credit,Catalysing Impact SOCIAL IMPACT HU A CURIOUS TRACTO | Interbank Credit,"10,000.00",SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"This is the $10,000 Catalysing Impact grant (Social Impact Hub) paid to ACT. Code to Grants Received, not Other Revenue — it's grant income, GST-free. No tax invoice as it's a grant, not a sale (the Dext 'receipt' is just the remittance, treat as supporting doc)."
,5/7/2026,DANIEL ROBINSON H6634622661 Marketplace - Gard | Transfer Debit,"1,550.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Garden gear bought privately off Daniel Robinson via Facebook Marketplace (same seller as the mower) for the farm/garden. Private sale, no tax invoice, so GST Free. Code to ACT-FM. If any single item is a substantial piece of equipment treat it as a capital asset, otherwise expense it as garden supplies."
,5/15/2026,MR BEAU JOSEPH ANDE Y4434637310 | Transfer Debit,291,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Labour for the Harvest build (ACT-HV) — paid to Beau Joseph Anderson, paired with the $665 (#22). P2P transfer, no tax invoice -> GST-free."
,5/25/2026,MR BEAU JOSEPH ANDE H9114176985 Thanks | Transfer Debit,665,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Labour for the Harvest build (ACT-HV) — paid to Beau Joseph Anderson, paired with the $291 (#21). P2P transfer, no tax invoice -> GST-free. Not Drawings (it's ACT work)."
,,,,,,
,NAB Visa ACT #8815,,,,,
,8815,,,,,
,Date,Particulars | Reference | Code,Spent,Received,SL Comments,Your Comments
,10/14/2025,BEARPEP PTY LTD LARRAKEYAH | Credit Card Purchase,323.3,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,[receipt to provide] Card purchase at Bearpep Pty Ltd in Larrakeyah (Darwin) — a Goods (ACT-GD) expense. Domestic AU vendor so GST on Expenses once we have the tax invoice. No receipt on file — I'll dig out the Bearpep invoice/receipt to confirm GST. Pairs with the $64.99 same-day Bearpep charge.
,10/14/2025,BEARPEP PTY LTD LARRAKEYAH | Credit Card Purchase,64.99,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Second same-day Bearpep Pty Ltd (Larrakeyah) charge, a Goods (ACT-GD) expense. Domestic AU vendor — GST on Expenses pending the tax invoice. No receipt on file yet; I'll provide the Bearpep receipt."
,10/27/2025,Audible Limited AU MELBOURNE | Credit Card Purchase,16.45,,SL: Is this an office expense or Drawings - Nicholas Marchesi?,"Office expense, not Drawings — this is the Audible AU audiobook subscription used for business (research/professional development). Domestic AU, GST on Expenses. Code to subscriptions/office under ACT-IN. Receipt is on the Xero transaction. (Same recurring $16.45 charge as the later Audible lines.)"
,10/28/2025,JMC No2 Pty Ltd TS Ken Kenilworth | Credit Card Purchase,314.2,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,[receipt to provide] Card spend at JMC No2 Pty Ltd in Kenilworth (near the farm) — a Farm (ACT-FM) expense. Domestic AU vendor so GST on Expenses once I supply the tax invoice. No receipt on file — I'll pull the JMC receipt to confirm GST and exactly what it was for.
,10/29/2025,GUZMAN Y GOMEZ SURRY HILLS | Credit Card Purchase,28.1,,SL: Is this a travel expense or Drawings - Nicholas Marchesi?,"[receipt to provide] Travel expense, not Drawings. This is a meal in Surry Hills while in Sydney for business (same trip as the ADGE Hotel stays). Code to travel/meals, GST on Expenses (domestic). No tax invoice on file — I'll provide the EFTPOS/GYG receipt."
,10/30/2025,SQ *VALLEY SLICE PTY LTD Mooloolah Val | Credit Card Purchase,352.22,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Cafe/meal at Valley Slice in Mooloolah Valley, local to the Farm (Witta). Treat as a Farm-related meal expense, GST on Expenses (domestic AU vendor). No receipt on file yet — I'll dig out the tax invoice."
,11/3/2025,MAPLE STREET MEAT MERC MALENY | Credit Card Purchase,203.23,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Butcher (Maple St Meat, Maleny) — provisions local to the Farm. Code to Farm, GST on Expenses (domestic AU vendor — most fresh meat is GST-free, so the receipt will determine the exact GST). I'll provide the tax invoice."
,11/4/2025,INTERNET BANKING TRANSFERMELBOURNE | Credit Card Cash Advance,45.8,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Cash spent on the Harvest (ACT-HV), per Ben. No receipt -> BAS Excluded / no GST. Not Drawings."
,11/4/2025,INTERNET BANKING TRANSFERMELBOURNE | Credit Card Cash Advance,202.16,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Cash drawn and spent on the Harvest (ACT-HV), per Ben. No receipt on the transfer itself -> BAS Excluded / no GST; the underlying Harvest purchase would carry GST only if a receipt is produced. Not Drawings."
,11/4/2025,INTERNET BANKING TRANSFERMELBOURNE | Credit Card Cash Advance,152.59,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Credit-card cash advance already matched to a Xero bill and coded ACT-DO / acct 485. Leave as coded — it's tied to the underlying bill (treated GST-free per the existing tax code). Bill is on file in Xero, so no further invoice needed unless you want me to re-verify the GST on the underlying bill."
,11/17/2025,Indonesia Arrival ROTTERDAM | Credit Card Purchase,204.55,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt likely in Gmail — confirm] Indonesia electronic visa-on-arrival (eVOA) for a business trip — overseas charge, so GST Free. Code to international travel. Confirmation is in Nic's inbox: 'Indonesia Arrival — Your Indonesia eVOA - Ready for Travel' (nicholas@act.place) — I can forward it as the supporting doc."
,11/17/2025,Kogan.com 3BUDH9QW Melbourne | Credit Card Purchase,291.98,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Kogan.com — domestic online retailer, so GST on Expenses with a valid tax invoice. I'll pull the Kogan order confirmation (ref 3BUDH9QW) so we can confirm the item and exact account; if it's a capital item over the threshold we'll capitalise rather than expense."
,11/17/2025,Indonesia Arrival ROTTERDAM | Credit Card Purchase,393.72,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt likely in Gmail — confirm] Second Indonesia eVOA charge for the same business trip — overseas, so GST Free, code to international travel. Confirmation email 'Indonesia Arrival — Your Indonesia eVOA - Ready for Travel' is in Nic's inbox (nicholas@act.place); I'll forward it."
,11/17/2025,Scopri Olo Bar Carlton | Credit Card Purchase,180,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Business meal at Scopri (Carlton) while in Melbourne for work. Code to travel/meals under ACT-IN, GST on Expenses (domestic AU). No tax invoice on file yet - I'll provide the receipt."
,11/18/2025,CARLA FURNISHERS P/L CICCONE | Credit Card Purchase,"5,590.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"RESOLVED (Dext): a single Dext receipt for $11,180.00 dated 2025-11-17 covers BOTH same-day $5,590 Carla Furnishers charges — this is ONE $11,180 furniture purchase for Goods (ACT-GD) split across two card transactions, NOT a duplicate. Receipt is in Dext. Domestic AU supplier, GST on Expenses; treat as inventory/capital."
,11/18/2025,CARLA FURNISHERS P/L CICCONE | Credit Card Purchase,"5,590.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"RESOLVED (Dext): a single Dext receipt for $11,180.00 dated 2025-11-17 covers BOTH same-day $5,590 Carla Furnishers charges — this is ONE $11,180 furniture purchase for Goods (ACT-GD) split across two card transactions, NOT a duplicate. Receipt is in Dext. Domestic AU supplier, GST on Expenses; treat as inventory/capital."
,11/26/2025,Audible Limited AU MELBOURNE | Credit Card Purchase,16.45,,SL: Is this an office expense or Drawings - Nicholas Marchesi?,"[receipt located — forwarding; reviewer-corrected] Audible subscription used as a research/office expense (per Ben) — code 485 Subscriptions, ACT-IN, GST on Expenses. Receipt on file in benjamin@ ($16.45 inc GST $1.50). Not Drawings."
,12/1/2025,BARGAINCARRENTALS HOBART | Credit Card Purchase,998.94,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Bargain Car Rentals (Hobart) - vehicle hire for a Goods trip in Tasmania (ACT-GD). Domestic AU, GST on Expenses. Paired with line 41 same day (deposit + balance / second booking). Receipt to follow."
,12/1/2025,BARGAINCARRENTALS HOBART | Credit Card Purchase,809.29,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Second Bargain Car Rentals charge same day as line 40 (Hobart), Goods trip (ACT-GD). Likely the balance/second vehicle on the same booking - both legitimate. Domestic AU, GST on Expenses. Receipt to follow."
,12/8/2025,CACTUS JACKS RESTAUR TOWNSVILLE | Credit Card Purchase,717.5,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Cactus Jacks (Townsville) - business meal on a Harvest trip (ACT-HV); the $717.50 is a group/team meal. Domestic AU, GST on Expenses. I'll provide the receipt. — DEXT/RECEIPT FOUND: xero_transaction ""Cactus Jacks Bar and Grill"" $708.85 2025-12-03 (CLOSE (surcharge/tip/fx)); on file, can attach."
,12/9/2025,CONTAINER OPTIONS STRATHFIELD S | Credit Card Purchase,"5,904.05",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Container Options - shipping container we bought and on-sold to MAYCS (Mounty Yarns, ACT-MY). Domestic AU, GST on Expenses. Tax invoice exists: the 'Order 00066927; Invoice From Container Options Pty Ltd' email in nicholas@act.place - I'll forward it. This pairs with the matching on-sale invoice to MAYCS. — DEXT/RECEIPT FOUND: dext_receipt ""Container Options"" $5,802.50 2025-12-05 (CLOSE (surcharge/tip/fx)); on file, can attach."
,12/11/2025,COLYTON HOTEL COLYTON | Credit Card Purchase,436.24,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt located — forwarding] Colyton Hotel (Colyton, Western Sydney) - accommodation/meals on a Mounty Yarns trip (ACT-MY). Domestic AU, GST on Expenses. Receipt to follow. RECEIPT FOUND: Colyton Hotel booking #5406236 in nicholas@act.place, amount $436.24 confirmed in the email body (plus a forwarded Qantas Hotels confirmation QBQ4Y39HW). Forwarding to SL."
,12/29/2025,Audible Limited AU MELBOURNE | Credit Card Purchase,16.45,,SL: Is this an office expense or Drawings - Nicholas Marchesi?,"[receipt located — forwarding] Office expense, not Drawings — it's my Audible audiobook subscription for work-related listening. Code to ACT-IN office/subscriptions. There's an Audible order-confirmation email in my benjamin@act.place inbox I can forward as the tax invoice. Domestic AU supplier, so GST on Expenses. RECEIPT FOUND: Audible order receipt (donotreply@audible.com.au, $16.45 confirmed) in benjamin@act.place. Forwarding to SL."
,1/15/2026,AIRTASKER* 19323270X HAYMARKET | Credit Card Purchase,399.45,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] This is Airtasker — I paid for an outsourced task/job through the platform, general ACT admin so code to ACT-IN (contractor/subcontractor costs). AU domestic, GST on Expenses. No receipt on file yet — I'll pull the Airtasker tax invoice/receipt and provide it."
,1/29/2026,CARLA FURNISHERS P/L CICCONE | Credit Card Purchase,"4,816.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt located — forwarding] Carla Furnishers Pty Ltd (ABN 86 009 599 526) — tax invoice 26-00000151, paid 28 Jan 2026: 4× Speed Queen washing machines, net of a 4-unit return (the voided $11,180 Xero bills = the swapped-out original order). $4,816.00 inc GST $437.82. Capital equipment for Goods. Code ACT-GD, account 446, GST on Expenses, claim $437.82. Tax invoice on file in nicholas@."
,2/6/2026,STEELMART CALOUNDRA CALOUNDRAQLD | Credit Card Purchase,538.12,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Steelmart Caloundra — steel/materials for the Harvest Witta build, code to ACT-HV (materials / building & site). AU domestic supplier, GST on Expenses. No receipt on file — I'll get the Steelmart invoice and provide it."
,2/9/2026,LS Esmay Adelaide Hackney | Credit Card Purchase,326.6,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Adelaide hospitality (LS Esmay, Hackney) — meals while travelling for work, code to ACT-IN travel/meals. AU domestic, GST on Expenses. No receipt on file — I'll provide the EFTPOS receipt/tax invoice if one's available."
