activity_id,project_code,project,activity_name,type,fy,status,hypothesis_or_unknown,success_criterion,outcome_status,national_priority,closing_the_gap,overseas_finding,evidence_source,confidence
ACT-CG-C1,ACT-CG,CivicGraph,"Entity resolution (org and contact dedup)",core,FY26,in_progress,"Rules + LLM-fallback resolution reaches >=92% precision and >=85% recall on messy real-world org/contact data",">=92% precision, >=85% recall vs 200-row gold set","not measured (gold set unbuilt)","P5 secure and resilient nation","",no,"wiki/projects/civicgraph/rd-activity-register.md",high
ACT-EL-C1,ACT-EL,Empathy Ledger,"OCAP verbal-consent-as-audit-trail",core,FY26,in_progress,"At-capture verbal consent can be encoded as a verifiable audit trail with >=99% third-party verifiability",">=99% verifiability; <60s third-party audit","audit not yet run","P3 Aboriginal and Torres Strait Islander knowledge systems","Priority Reform 4 (data access)","YES - extended overseas (WT-O1..O4, FY26-27)","wiki/projects/empathy-ledger/rd-activity-register.md",high
ACT-EL-C2,ACT-EL,Empathy Ledger,"Multi-tenant cross-org ledger (zero leakage)",core,FY26,in_progress,"Org-scoped RLS guarantees zero cross-org data leakage in a multi-tenant story ledger","0 leakage under adversarial test","leakage test not run","P3","","relates","wiki/projects/empathy-ledger/rd-activity-register.md",med
ACT-GD-C1,ACT-GD,Goods,"Buyer-supplier matching algorithm",core,FY26,in_progress,"Algorithmic buyer-supplier matching lifts conversion to >=40% vs ~12% baseline",">=40% conversion vs ~12%","treatment cohort not run","P2 healthy and thriving communities; circular economy","",no,"wiki/projects/goods/rd-activity-register.md",high
ACT-GD-S6,ACT-GD,Goods,"Gemini structured OCR for receipts",supporting,FY26,in_use,"n/a (supporting - directly supports finance/receipt cores)","","in use","P5","",no,"thoughts/shared/rd-pack-fy26/supporting-activities.md",med
ACT-JH-C1,ACT-JH,JusticeHub,"Federated procurement-code mapping (ALMA evidence layer)",core,FY26,in_progress,"Federated mapping of justice/procurement codes across sources reaches >=80% match",">=80% match vs 100-row gold set","gold set unbuilt; JH personnel unallocated","P2 + P5; CtG Target 11 youth justice","Target 11","YES - extended overseas (WT-O5..O6, FY26-27)","wiki/projects/justicehub/rd-activity-register.md",high
ACT-IN-C1,ACT-IN,Internal infrastructure (NEW),"Cross-source Alignment Loop truth-state synthesis","OUT as core (internal-admin exclusion, purpose-based; fails supporting test) - reallocate experimental time to product registers",FY26,"built; eval pending","A project's true state can be synthesised by scoring cross-source agreement (wiki x DB x codebase x Xero) more reliably than manual judgement","synthesis matches human ground-truth on fixtures","fixtures exist; formal eval pending","P5 secure and resilient nation","",no,"scripts/synthesize-project-truth-state.mjs; lib/alignment-loop-grade.mjs",med
ACT-IN-C2,ACT-IN,Internal infrastructure (NEW),"LLM-graded rubric calibration harness","OUT as core (internal-admin QC of ACT's own outputs; circular vs the R&D pack)",FY26,"built; calibrated","An LLM grader can be calibrated to match human verdicts on good/bad fixtures within tolerance","verdict-match on calibration fixtures (e.g. 6/6)","calibrated on rd-evidence rubric","P5","",no,"scripts/grade-pack.mjs; rubric fixtures",med
ACT-IN-S1,ACT-IN,Internal infrastructure (NEW),"PostgREST 1000-cap ground-truth harness","OUT (known-solution fix + internal finance admin)",FY26,shipped,"n/a (supporting; the discovery was uncertain, the fix known-solution)","","shipped","P5","",no,"apps/command-center/src/lib/finance/ledger.ts",low
WT-O1,ACT-EL,Empathy Ledger (overseas),"PRISM cross-lingual extraction validation",overseas (core/supporting TBD),FY26-27,planned,"PRISM 150-field single-call extraction holds fidelity across low-resource oral-tradition languages","per-field fidelity vs native-speaker ground truth","planned (the trip)","P3","","YES - links to ACT-EL-C1","thoughts/shared/rd-pack-fy26/world-tour-overseas-finding-draft.md",med-high
WT-O2,ACT-EL,Empathy Ledger (overseas),"OCAP cross-governance consent test",overseas,FY26-27,planned,"OCAP type model represents consent across reconciliation/refugee/EU care-leaver governance without a fork","model holds or boundary identified","planned","P3","Priority Reform 4","YES - links to ACT-EL-C1","thoughts/shared/rd-pack-fy26/world-tour-overseas-finding-draft.md",high
WT-O3,ACT-EL/JH,Cross-platform (overseas),"Bidirectional Travel Diary two-sided test (YOPE)",overseas,FY26-27,planned,"Two-sided consent-propagating exchange holds per-entry ownership across two live cohorts under latency","no divergence/leakage in live two-sided run","planned (YOPE 16-22 Jul)","P2 + P3","Target 11","YES - strongest essential-link","thoughts/shared/rd-pack-fy26/world-tour-overseas-finding-draft.md",high
